(1,1,1)
(2,2,1)
(3,3,1)
(4,4,1)
(5,5,1)
(6,6,1)
(7,7,1)
(8,8,1)
(9,9,1)
(10,10,1)
(11,11,1)
(12,12,1)
(13,13,1)
(14,14,1)
(15,15,1)
(16,16,1)
(17,17,1)
(18,18,1)
(19,19,1)
(20,20,1)
(21,21,1)
(22,1,2)
(23,2,2)
(24,3,2)
(25,4,2)
(26,5,2)
(27,6,2)
(28,7,2)
(29,8,2)
(30,9,2)
(31,10,2)
(32,11,2)
(33,12,2)
(34,13,2)
(35,14,2)
(36,15,2)
(37,16,2)
(38,17,2)
(39,18,2)
(40,19,2)
(41,20,2)
(42,21,2)
(43,1,3)
(44,2,3)
(45,3,3)
(46,4,3)
(47,5,3)
(48,6,3)
(49,7,3)
(50,8,3)
(51,9,3)
(52,10,3)
(53,11,3)
(54,12,3)
(55,13,3)
(56,14,3)
(57,15,3)
(58,16,3)
(59,17,3)
(60,18,3)
(61,19,3)
(62,20,3)
(63,21,3)
(64,22,4)
(65,23,4)
(66,24,4)
(67,25,4)
(68,26,4)
(69,27,4)
(70,28,4)
(71,29,4)
(72,30,4)
(73,31,4)
(74,32,4)
(75,33,4)
(76,34,4)
(77,22,5)
(78,23,5)
(79,24,5)
(80,25,5)
(81,26,5)
(82,27,5)
(83,28,5)
(84,29,5)
(85,30,5)
(86,31,5)
(87,32,5)
(88,33,5)
(89,34,5)
(90,35,6)
(91,36,6)
(92,37,6)
(93,38,6)
(94,39,6)
(95,40,6)
(96,41,6)
(97,42,6)
(98,43,6)
(99,44,6)
(100,45,6)
(101,46,6)
(102,47,6)
(103,48,6)
(104,49,6)
(105,50,6)
(106,51,18)
(107,52,20)
(108,53,7)
(109,54,7)
(110,55,7)
(111,56,7)
(112,57,7)
(113,58,7)
(114,59,7)
(115,60,7)
(116,61,7)
(117,62,7)
(118,63,18)
(119,64,18)
(120,65,18)
(121,66,18)
(122,67,18)
(123,68,18)
(124,69,18)
(125,70,18)
(126,71,18)
(127,72,18)
(128,73,18)
(129,74,21)
(130,75,21)
(131,76,21)
(132,77,21)
(133,78,21)
(134,79,21)
(135,80,21)
(136,81,21)
(137,82,21)
(138,83,21)
(139,84,21)
(140,85,21)
(141,86,21)
(142,87,21)
(143,88,21)
(144,89,21)
(145,90,21)
(146,91,21)
(147,92,21)
(148,93,21)
(149,94,21)
(150,95,21)
(151,96,21)
(152,97,21)
(153,98,21)
(154,99,21)
(155,100,21)
(156,101,21)
(157,102,21)
(158,103,21)
(159,104,21)
(160,105,21)
(161,106,21)
(162,107,21)
(163,108,21)
(164,109,12)
(165,110,22)
(166,111,22)
(167,112,13)
(168,113,13)
(169,114,13)
(170,115,13)
(171,116,13)
(172,117,13)
(173,112,14)
(174,113,14)
(175,114,14)
(176,115,14)
(177,116,14)
(178,117,14)
(179,118,18)
(180,119,18)
(181,120,8)
(182,121,8)
(183,122,7)
(184,123,18)
(185,124,18)
(186,125,18)
(187,126,18)
(188,127,18)
(189,128,9)
(190,129,15)
(191,130,15)
(192,131,15)
(193,132,15)
(194,133,15)
(195,134,15)
(196,135,15)
(197,136,15)
(198,137,15)
(199,138,15)
(200,129,16)
(201,130,16)
(202,131,16)
(203,132,16)
(204,133,16)
(205,134,16)
(206,135,16)
(207,136,16)
(208,137,16)
(209,138,16)